venue,first_core_year,last_core_year,years_present,years_list,levels_list,astar_years,a_years,ever_astar,active_article_years_required,first_article_year_required,last_article_year_required,required_core_years,required_levels,inferred_area,relevance_class,priority_score,priority_level,recommended_action,rationale,priority_sort,tier,tier_reason,tier_action,tier_sort
EWSN,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sistemas empotrados / Tiempo real,high_seed,20.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=high_seed; área=Sistemas empotrados / Tiempo real,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
EuroPar,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sistemas / HPC / Arquitectura,high_seed,20.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=high_seed; área=Sistemas / HPC / Arquitectura,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
FCCM,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sistemas / HPC / Arquitectura,high_seed,20.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=high_seed; área=Sistemas / HPC / Arquitectura,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
HOTCHIPS (HCS),2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sistemas / HPC / Arquitectura,high_seed,20.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=high_seed; área=Sistemas / HPC / Arquitectura,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
ICECCS,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Ingeniería del Software / Servicios,high_seed,20.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=high_seed; área=Ingeniería del Software / Servicios,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
RSS,2008,2018,5,2008|2013|2014|2017|2018,A*,5,0,True,12,2008,2019,2008|2013|2014|2017|2018,A*,Sin clasificar,unknown,20.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,A* histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
IPCO,2008,2023,8,2008|2013|2014|2017|2018|2020|2021|2023,A,0,8,False,18,2008,2025,2008|2013|2014|2017|2018|2020|2021|2023,A,Teoría / Métodos formales / PL,likely_core_cs,19.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 8 versiones CORE; 18 años-artículo requeridos; relevancia=likely_core_cs; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
ISAAC,2008,2023,8,2008|2013|2014|2017|2018|2020|2021|2023,A,0,8,False,18,2008,2025,2008|2013|2014|2017|2018|2020|2021|2023,A,Teoría / Métodos formales / PL,likely_core_cs,19.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 8 versiones CORE; 18 años-artículo requeridos; relevancia=likely_core_cs; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
TARK,2008,2023,8,2008|2013|2014|2017|2018|2020|2021|2023,A,0,8,False,18,2008,2025,2008|2013|2014|2017|2018|2020|2021|2023,A,Teoría / Métodos formales / PL,likely_core_cs,19.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 8 versiones CORE; 18 años-artículo requeridos; relevancia=likely_core_cs; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
ICNP,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Sistemas / HPC / Arquitectura,likely_core_cs,19.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=likely_core_cs; área=Sistemas / HPC / Arquitectura,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
ICPP,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Sistemas / HPC / Arquitectura,likely_core_cs,19.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=likely_core_cs; área=Sistemas / HPC / Arquitectura,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
LPAR,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Teoría / Métodos formales / PL,likely_core_cs,19.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=likely_core_cs; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
PPoPP,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Sistemas / HPC / Arquitectura,likely_core_cs,19.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=likely_core_cs; área=Sistemas / HPC / Arquitectura,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
RANDOM,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Teoría / Métodos formales / PL,likely_core_cs,19.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=likely_core_cs; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
