window,country_code,count,eu_den,share,rank,coverage_threshold
2001-2005,SI,72,14105,0.00510457284650833,18,0.3
2001-2005,FI,331,14105,0.02346685572492024,10,0.3
2001-2005,FR,2532,14105,0.1795108117688763,3,0.3
2001-2005,PL,150,14105,0.010634526763559022,16,0.3
2001-2005,BE,454,14105,0.03218716767103864,8,0.3
2001-2005,BG,22,14105,0.0015597305919886565,22,0.3
2001-2005,ES,955,14105,0.06770648706132577,6,0.3
2001-2005,DK,263,14105,0.018645870258773484,12,0.3
2001-2005,AT,329,14105,0.023325062034739455,11,0.3
2001-2005,GR,344,14105,0.024388514711095356,9,0.3
2001-2005,PT,230,14105,0.0163062743707905,13,0.3
2001-2005,HR,11,14105,0.0007798652959943283,25,0.3
2001-2005,GB,2938,14105,0.20829493087557605,2,0.3
2001-2005,EE,14,14105,0.0009925558312655087,23,0.3
2001-2005,LV,11,14105,0.0007798652959943283,25,0.3
2001-2005,CY,24,14105,0.0017015242821694435,21,0.3
2001-2005,IT,1491,14105,0.10570719602977667,4,0.3
2001-2005,HU,130,14105,0.009216589861751152,17,0.3
2001-2005,IE,216,14105,0.015313718539524991,14,0.3
2001-2005,NL,1089,14105,0.07720666430343849,5,0.3
2001-2005,DE,3126,14105,0.22162353775257002,1,0.3
2001-2005,CZ,190,14105,0.01347040056717476,15,0.3
2001-2005,LU,12,14105,0.0008507621410847217,24,0.3
2001-2005,MT,1,14105,7.089684509039348e-05,28,0.3
2001-2005,SK,29,14105,0.002056008507621411,20,0.3
2001-2005,SE,612,14105,0.04338886919532081,7,0.3
2001-2005,RO,31,14105,0.002197802197802198,19,0.3
2001-2005,LT,5,14105,0.0003544842254519674,27,0.3
2006-2010,SI,68,21701,0.0031334961522510485,19,0.3
2006-2010,FI,522,21701,0.024054191051103634,11,0.3
2006-2010,FR,4043,21701,0.1863047785816322,3,0.3
2006-2010,PL,207,21701,0.009538730934058338,16,0.3
2006-2010,BE,737,21701,0.03396156859130916,7,0.3
2006-2010,BG,12,21701,0.0005529699092207733,25,0.3
2006-2010,ES,1664,21701,0.07667849407861389,5,0.3
2006-2010,DK,420,21701,0.019353946822727064,12,0.3
2006-2010,AT,639,21701,0.029445647666006176,9,0.3
2006-2010,GR,556,21701,0.02562093912722916,10,0.3
2006-2010,PT,411,21701,0.018939219390811484,13,0.3
2006-2010,HR,19,21701,0.0008755356895995577,24,0.3
2006-2010,GB,4737,21701,0.21828487166490024,2,0.3
2006-2010,EE,32,21701,0.0014745864245887287,22,0.3
2006-2010,LV,6,21701,0.00027648495461038663,27,0.3
2006-2010,CY,38,21701,0.0017510713791991153,21,0.3
2006-2010,IT,2090,21701,0.09630892585595134,4,0.3
2006-2010,HU,163,21701,0.0075111746002488365,17,0.3
2006-2010,IE,391,21701,0.018017602875443527,14,0.3
2006-2010,NL,1600,21701,0.07372932122943643,6,0.3
2006-2010,DE,5249,21701,0.2418782544583199,1,0.3
2006-2010,CZ,268,21701,0.012349661305930602,15,0.3
2006-2010,LU,69,21701,0.003179576978019446,18,0.3
2006-2010,MT,8,21701,0.0003686466061471822,26,0.3
2006-2010,SK,29,21701,0.0013363439472835353,23,0.3
2006-2010,SE,730,21701,0.03363900281093037,8,0.3
2006-2010,RO,61,21701,0.002810930371872264,20,0.3
2006-2010,LT,3,21701,0.00013824247730519332,28,0.3
2011-2015,SI,70,25779,0.0027153884945110363,21,0.3
2011-2015,FI,547,25779,0.021218821521393382,13,0.3
2011-2015,FR,4479,25779,0.17374607238449902,3,0.3
2011-2015,PL,282,25779,0.010939136506458745,16,0.3
2011-2015,BE,875,25779,0.03394235618138795,9,0.3
2011-2015,BG,17,25779,0.0006594514915241088,26,0.3
2011-2015,ES,1886,25779,0.07316032429496877,5,0.3
2011-2015,DK,632,25779,0.024516078979013926,11,0.3
2011-2015,AT,1091,25779,0.04232126925016486,7,0.3
2011-2015,GR,660,25779,0.025602234376818342,10,0.3
2011-2015,PT,560,25779,0.02172310795608829,12,0.3
2011-2015,HR,32,25779,0.0012413204546336165,24,0.3
2011-2015,GB,5838,25779,0.2264634004422204,2,0.3
2011-2015,EE,71,25779,0.0027541797587183367,20,0.3
2011-2015,LV,19,25779,0.0007370340199387098,25,0.3
2011-2015,CY,51,25779,0.001978354474572326,22,0.3
2011-2015,IT,2541,25779,0.09856860235075061,4,0.3
2011-2015,HU,179,25779,0.006943636293106793,17,0.3
2011-2015,IE,452,25779,0.017533651421699832,14,0.3
2011-2015,NL,1724,25779,0.06687613949338608,6,0.3
2011-2015,DE,6889,25779,0.26723301912409325,1,0.3
2011-2015,CZ,370,25779,0.01435276775670119,15,0.3
2011-2015,LU,137,25779,0.005314403196400171,18,0.3
2011-2015,MT,9,25779,0.00034912137786570463,27,0.3
2011-2015,SK,42,25779,0.0016292330967066218,23,0.3
2011-2015,SE,1004,25779,0.038946429264129716,8,0.3
2011-2015,RO,100,25779,0.0038791264207300516,19,0.3
2011-2015,LT,3,25779,0.00011637379262190155,28,0.3
2016-2020,SI,93,31050,0.002995169082125604,20,0.3
2016-2020,FI,837,31050,0.026956521739130435,11,0.3
2016-2020,FR,4642,31050,0.14950080515297906,3,0.3
2016-2020,PL,550,31050,0.017713365539452495,15,0.3
2016-2020,BE,903,31050,0.029082125603864733,10,0.3
2016-2020,BG,25,31050,0.0008051529790660225,25,0.3
2016-2020,ES,1529,31050,0.04924315619967794,6,0.3
2016-2020,DK,1018,31050,0.03278582930756844,9,0.3
2016-2020,AT,1468,31050,0.047278582930756846,7,0.3
2016-2020,GR,591,31050,0.019033816425120774,13,0.3
2016-2020,PT,556,31050,0.01790660225442834,14,0.3
2016-2020,HR,30,31050,0.000966183574879227,24,0.3
2016-2020,GB,8872,31050,0.2857326892109501,1,0.3
2016-2020,EE,86,31050,0.0027697262479871175,21,0.3
2016-2020,LV,12,31050,0.0003864734299516908,27,0.3
2016-2020,CY,73,31050,0.002351046698872786,22,0.3
2016-2020,IT,2777,31050,0.08943639291465379,4,0.3
2016-2020,HU,164,31050,0.005281803542673108,18,0.3
2016-2020,IE,443,31050,0.01426731078904992,16,0.3
2016-2020,NL,2366,31050,0.07619967793880837,5,0.3
2016-2020,DE,8234,31050,0.2651851851851852,2,0.3
2016-2020,CZ,613,31050,0.019742351046698872,12,0.3
2016-2020,LU,216,31050,0.006956521739130435,17,0.3
2016-2020,MT,14,31050,0.00045088566827697265,26,0.3
2016-2020,SK,68,31050,0.002190016103059581,23,0.3
2016-2020,SE,1331,31050,0.04286634460547504,8,0.3
2016-2020,RO,121,31050,0.003896940418679549,19,0.3
2016-2020,LT,5,31050,0.00016103059581320451,28,0.3
2021-2025,SI,122,46037,0.0026500423572343983,21,0.3
