scenario,window,country_code,count,eu_den,share,rank
historical_Astar_only,2016-2020,GR,245,13725,0.01785063752276867,14
historical_Astar_only,2016-2020,NL,933,13725,0.06797814207650273,5
historical_Astar_only,2016-2020,PT,191,13725,0.013916211293260474,16
historical_Astar_only,2016-2020,CY,27,13725,0.0019672131147540984,22
historical_Astar_only,2016-2020,PL,275,13725,0.020036429872495445,12
historical_Astar_only,2016-2020,AT,519,13725,0.03781420765027323,8
historical_Astar_only,2016-2020,BE,310,13725,0.022586520947176687,11
historical_Astar_only,2016-2020,LU,67,13725,0.0048816029143898,17
historical_Astar_only,2016-2020,FR,1996,13725,0.1454280510018215,3
historical_Astar_only,2016-2020,HU,52,13725,0.0037887067395264117,19
historical_Astar_only,2016-2020,CZ,252,13725,0.018360655737704918,13
historical_Astar_only,2016-2020,SI,33,13725,0.0024043715846994535,20
historical_Astar_only,2016-2020,MT,6,13725,0.0004371584699453552,27
historical_Astar_only,2016-2020,EE,17,13725,0.001238615664845173,23
historical_Astar_only,2016-2020,SE,618,13725,0.045027322404371586,6
historical_Astar_only,2016-2020,LT,3,13725,0.0002185792349726776,28
historical_Astar_only,2016-2020,IT,1205,13725,0.0877959927140255,4
historical_Astar_only,2021-2025,LV,6,27374,0.00021918608898955212,26
historical_Astar_only,2021-2025,GB,9820,27374,0.3587345656462336,1
historical_Astar_only,2021-2025,RO,70,27374,0.0025571710382114414,19
historical_Astar_only,2021-2025,SK,69,27374,0.0025206400233798495,20
historical_Astar_only,2021-2025,DK,1031,27374,0.03766347629137137,8
historical_Astar_only,2021-2025,FI,609,27374,0.02224738803243954,11
historical_Astar_only,2021-2025,IE,253,27374,0.009242346752392782,16
historical_Astar_only,2021-2025,DE,7291,27374,0.26634762913713744,2
historical_Astar_only,2021-2025,BG,75,27374,0.0027398261123694014,18
historical_Astar_only,2021-2025,ES,967,27374,0.03532549134214948,9
historical_Astar_only,2021-2025,HR,22,27374,0.0008036823262950244,25
historical_Astar_only,2021-2025,GR,336,27374,0.01227442098341492,14
historical_Astar_only,2021-2025,NL,2053,27374,0.07499817344925842,4
historical_Astar_only,2021-2025,PT,269,27374,0.009826842989698254,15
historical_Astar_only,2021-2025,CY,51,27374,0.0018630817564111932,23
historical_Astar_only,2021-2025,PL,698,27374,0.02549864835245123,10
historical_Astar_only,2021-2025,AT,1144,27374,0.041791480967341275,7
historical_Astar_only,2021-2025,BE,582,27374,0.021261050631986557,12
historical_Astar_only,2021-2025,LU,153,27374,0.0055892452692335795,17
historical_Astar_only,2021-2025,FR,3677,27374,0.13432454153576387,3
historical_Astar_only,2021-2025,HU,67,27374,0.0024475779937166656,21
historical_Astar_only,2021-2025,CZ,398,27374,0.014539343902973624,13
historical_Astar_only,2021-2025,SI,54,27374,0.0019726748009059694,22
historical_Astar_only,2021-2025,MT,5,27374,0.00018265507415796012,27
historical_Astar_only,2021-2025,EE,37,27374,0.0013516475487689048,24
historical_Astar_only,2021-2025,SE,1272,27374,0.04646745086578505,6
historical_Astar_only,2021-2025,LT,5,27374,0.00018265507415796012,27
historical_Astar_only,2021-2025,IT,2049,27374,0.07485204938993205,5
stable_Astar_A_both,2001-2005,LV,11,14240,0.0007724719101123596,26
stable_Astar_A_both,2001-2005,GB,2998,14240,0.21053370786516853,2
stable_Astar_A_both,2001-2005,RO,31,14240,0.0021769662921348313,19
stable_Astar_A_both,2001-2005,SK,29,14240,0.0020365168539325843,20
stable_Astar_A_both,2001-2005,DK,264,14240,0.01853932584269663,12
stable_Astar_A_both,2001-2005,FI,333,14240,0.023384831460674157,10
stable_Astar_A_both,2001-2005,IE,226,14240,0.015870786516853932,14
stable_Astar_A_both,2001-2005,DE,3145,14240,0.2208567415730337,1
stable_Astar_A_both,2001-2005,BG,22,14240,0.001544943820224719,22
stable_Astar_A_both,2001-2005,ES,967,14240,0.06790730337078651,6
stable_Astar_A_both,2001-2005,HR,12,14240,0.0008426966292134832,24
stable_Astar_A_both,2001-2005,GR,345,14240,0.02422752808988764,9
stable_Astar_A_both,2001-2005,NL,1091,14240,0.07661516853932585,5
stable_Astar_A_both,2001-2005,PT,230,14240,0.016151685393258428,13
stable_Astar_A_both,2001-2005,CY,25,14240,0.0017556179775280898,21
stable_Astar_A_both,2001-2005,PL,151,14240,0.010603932584269662,16
stable_Astar_A_both,2001-2005,AT,332,14240,0.023314606741573034,11
stable_Astar_A_both,2001-2005,BE,454,14240,0.03188202247191011,8
stable_Astar_A_both,2001-2005,LU,12,14240,0.0008426966292134832,24
stable_Astar_A_both,2001-2005,FR,2545,14240,0.17872191011235955,3
stable_Astar_A_both,2001-2005,HU,130,14240,0.009129213483146067,17
stable_Astar_A_both,2001-2005,CZ,190,14240,0.013342696629213483,15
stable_Astar_A_both,2001-2005,SI,74,14240,0.0051966292134831464,18
stable_Astar_A_both,2001-2005,MT,1,14240,7.02247191011236e-05,28
stable_Astar_A_both,2001-2005,EE,14,14240,0.0009831460674157304,23
stable_Astar_A_both,2001-2005,SE,612,14240,0.04297752808988764,7
stable_Astar_A_both,2001-2005,LT,5,14240,0.00035112359550561797,27
stable_Astar_A_both,2001-2005,IT,1507,14240,0.10582865168539325,4
stable_Astar_A_both,2006-2010,LV,6,22048,0.00027213352685050797,27
stable_Astar_A_both,2006-2010,GB,4855,22048,0.22020137880986937,2
stable_Astar_A_both,2006-2010,RO,61,22048,0.002766690856313498,20
stable_Astar_A_both,2006-2010,SK,29,22048,0.0013153120464441219,23
stable_Astar_A_both,2006-2010,DK,423,22048,0.01918541364296081,12
stable_Astar_A_both,2006-2010,FI,525,22048,0.023811683599419448,11
stable_Astar_A_both,2006-2010,IE,402,22048,0.018232946298984035,14
stable_Astar_A_both,2006-2010,DE,5350,22048,0.24265239477503628,1
stable_Astar_A_both,2006-2010,BG,13,22048,0.0005896226415094339,25
stable_Astar_A_both,2006-2010,ES,1680,22048,0.07619738751814223,5
stable_Astar_A_both,2006-2010,HR,19,22048,0.000861756168359942,24
stable_Astar_A_both,2006-2010,GR,563,22048,0.025535195936139333,10
stable_Astar_A_both,2006-2010,NL,1614,22048,0.07320391872278664,6
stable_Astar_A_both,2006-2010,PT,411,22048,0.018641146589259798,13
stable_Astar_A_both,2006-2010,CY,38,22048,0.001723512336719884,21
stable_Astar_A_both,2006-2010,PL,210,22048,0.009524673439767779,16
stable_Astar_A_both,2006-2010,AT,648,22048,0.02939042089985486,9
stable_Astar_A_both,2006-2010,BE,743,22048,0.03369920174165457,7
stable_Astar_A_both,2006-2010,LU,69,22048,0.0031295355587808416,19
stable_Astar_A_both,2006-2010,FR,4093,22048,0.18564042089985486,3
stable_Astar_A_both,2006-2010,HU,166,22048,0.007529027576197387,17
stable_Astar_A_both,2006-2010,CZ,271,22048,0.012291364296081277,15
stable_Astar_A_both,2006-2010,SI,71,22048,0.0032202467343976776,18
stable_Astar_A_both,2006-2010,MT,8,22048,0.000362844702467344,26
stable_Astar_A_both,2006-2010,EE,32,22048,0.001451378809869376,22
stable_Astar_A_both,2006-2010,SE,735,22048,0.03333635703918723,8
stable_Astar_A_both,2006-2010,LT,3,22048,0.00013606676342525398,28
stable_Astar_A_both,2006-2010,IT,2132,22048,0.09669811320754718,4
stable_Astar_A_both,2011-2015,LV,19,26136,0.0007269666360575452,25
stable_Astar_A_both,2011-2015,GB,5981,26136,0.22884144475053567,2
stable_Astar_A_both,2011-2015,RO,100,26136,0.0038261401897765534,19
stable_Astar_A_both,2011-2015,SK,42,26136,0.0016069788797061523,23
stable_Astar_A_both,2011-2015,DK,632,26136,0.024181205999387816,11
stable_Astar_A_both,2011-2015,FI,562,26136,0.02150290786654423,13
stable_Astar_A_both,2011-2015,IE,462,26136,0.017676767676767676,14
stable_Astar_A_both,2011-2015,DE,6970,26136,0.26668197122742576,1
stable_Astar_A_both,2011-2015,BG,17,26136,0.0006504438322620141,26
stable_Astar_A_both,2011-2015,ES,1909,26136,0.0730410162228344,5
stable_Astar_A_both,2011-2015,HR,32,26136,0.001224364860728497,24
stable_Astar_A_both,2011-2015,GR,664,26136,0.025405570860116314,10
stable_Astar_A_both,2011-2015,NL,1742,26136,0.06665136210590757,6
stable_Astar_A_both,2011-2015,PT,570,26136,0.021808999081726354,12
stable_Astar_A_both,2011-2015,CY,55,26136,0.0021043771043771043,22
stable_Astar_A_both,2011-2015,PL,284,26136,0.010866238138965412,16
stable_Astar_A_both,2011-2015,AT,1106,26136,0.04231711049892868,7
stable_Astar_A_both,2011-2015,BE,878,26136,0.03359351086623814,9
stable_Astar_A_both,2011-2015,LU,144,26136,0.005509641873278237,18
stable_Astar_A_both,2011-2015,FR,4508,26136,0.17248239975512702,3
stable_Astar_A_both,2011-2015,HU,180,26136,0.006887052341597796,17
stable_Astar_A_both,2011-2015,CZ,373,26136,0.014271502907866544,15
stable_Astar_A_both,2011-2015,SI,71,26136,0.002716559534741353,20
stable_Astar_A_both,2011-2015,MT,9,26136,0.0003443526170798898,27
stable_Astar_A_both,2011-2015,EE,71,26136,0.002716559534741353,20
stable_Astar_A_both,2011-2015,SE,1009,26136,0.03860575451484542,8
stable_Astar_A_both,2011-2015,LT,3,26136,0.0001147842056932966,28
stable_Astar_A_both,2011-2015,IT,2560,26136,0.09794918885827977,4
stable_Astar_A_both,2016-2020,LV,12,31263,0.0003838403224258708,27
stable_Astar_A_both,2016-2020,GB,8966,31263,0.2867926942391965,1
stable_Astar_A_both,2016-2020,RO,126,31263,0.004030323385471644,19
stable_Astar_A_both,2016-2020,SK,68,31263,0.002175095160413268,23
stable_Astar_A_both,2016-2020,DK,1021,31263,0.03265841409973451,9
stable_Astar_A_both,2016-2020,FI,842,31263,0.026932795956881937,11
stable_Astar_A_both,2016-2020,IE,445,31263,0.01423407862329271,16
stable_Astar_A_both,2016-2020,DE,8270,31263,0.264529955538496,2
stable_Astar_A_both,2016-2020,BG,25,31263,0.0007996673383872309,25
stable_Astar_A_both,2016-2020,ES,1536,31263,0.049131561270511465,6
stable_Astar_A_both,2016-2020,HR,30,31263,0.000959600806064677,24
stable_Astar_A_both,2016-2020,GR,596,31263,0.019064069347151585,13
stable_Astar_A_both,2016-2020,NL,2370,31263,0.0758084636791095,5
stable_Astar_A_both,2016-2020,PT,557,31263,0.017816588299267504,14
stable_Astar_A_both,2016-2020,CY,73,31263,0.0023350286280907143,22
stable_Astar_A_both,2016-2020,PL,550,31263,0.01759268144451908,15
stable_Astar_A_both,2016-2020,AT,1469,31263,0.04698845280363369,7
stable_Astar_A_both,2016-2020,BE,903,31263,0.02888398426254678,10
stable_Astar_A_both,2016-2020,LU,217,31263,0.006941112497201164,17
stable_Astar_A_both,2016-2020,FR,4674,31263,0.1495058055848767,3
stable_Astar_A_both,2016-2020,HU,165,31263,0.005277804433355724,18
stable_Astar_A_both,2016-2020,CZ,615,31263,0.01967181652432588,12
stable_Astar_A_both,2016-2020,SI,93,31263,0.002974762498800499,20
stable_Astar_A_both,2016-2020,MT,14,31263,0.0004478137094968493,26
stable_Astar_A_both,2016-2020,EE,86,31263,0.0027508556440520742,21
stable_Astar_A_both,2016-2020,SE,1332,31263,0.04260627578927166,8
stable_Astar_A_both,2016-2020,LT,5,31263,0.00015993346767744618,28
stable_Astar_A_both,2016-2020,IT,2796,31263,0.08943479512522791,4
stable_Astar_A_both,2021-2025,LV,11,47038,0.000233853480164973,26
stable_Astar_A_both,2021-2025,GB,14709,47038,0.31270462179514436,1
stable_Astar_A_both,2021-2025,RO,141,47038,0.0029975764275691993,19
stable_Astar_A_both,2021-2025,SK,110,47038,0.00233853480164973,22
stable_Astar_A_both,2021-2025,DK,1710,47038,0.03635358646200944,9
stable_Astar_A_both,2021-2025,FI,1107,47038,0.023534163867511372,12
stable_Astar_A_both,2021-2025,IE,542,47038,0.011522598749946851,16
stable_Astar_A_both,2021-2025,DE,12955,47038,0.275415621412475,2
stable_Astar_A_both,2021-2025,BG,95,47038,0.0020196436923338576,24
stable_Astar_A_both,2021-2025,ES,1990,47038,0.042306220502572385,8
stable_Astar_A_both,2021-2025,HR,51,47038,0.0010842297716739658,25
stable_Astar_A_both,2021-2025,GR,648,47038,0.013776095922445683,14
stable_Astar_A_both,2021-2025,NL,3865,47038,0.08216760916705643,5
stable_Astar_A_both,2021-2025,PT,615,47038,0.013074535481950764,15
stable_Astar_A_both,2021-2025,CY,97,47038,0.0020621625069093073,23
stable_Astar_A_both,2021-2025,PL,1160,47038,0.02466091245376079,11
stable_Astar_A_both,2021-2025,AT,2217,47038,0.047132105956885925,6
stable_Astar_A_both,2021-2025,BE,1236,47038,0.026276627407627876,10
stable_Astar_A_both,2021-2025,LU,324,47038,0.006888047961222841,17
stable_Astar_A_both,2021-2025,FR,6337,47038,0.13472086398231217,3
stable_Astar_A_both,2021-2025,HU,169,47038,0.003592839831625494,18
stable_Astar_A_both,2021-2025,CZ,780,47038,0.01658233768442536,13
stable_Astar_A_both,2021-2025,SI,123,47038,0.0026149070963901525,21
stable_Astar_A_both,2021-2025,MT,11,47038,0.000233853480164973,26
stable_Astar_A_both,2021-2025,EE,126,47038,0.002678685318253327,20
stable_Astar_A_both,2021-2025,SE,2187,47038,0.04649432373825418,7
stable_Astar_A_both,2021-2025,LT,10,47038,0.00021259407287724819,28
stable_Astar_A_both,2021-2025,IT,4069,47038,0.08650452825375228,4
